Current_Chord,Next_Chord,Count,Probability
#4maj7,b6Maj,1,0.03225806451612903
#4maj7,77#11,1,0.03225806451612903
#4maj7,49#11,1,0.03225806451612903
#4maj7,b37,1,0.03225806451612903
#4maj7,b6m7,1,0.03225806451612903
#4maj7,b7maj7,1,0.03225806451612903
#4maj7,7m7,1,0.03225806451612903
#4maj7#11,1Maj,4,0.5
#4maj7#11,6maj7#11,2,0.25
#4maj7#11,5maj7#11,1,0.125
#4maj7#11,b3m,1,0.125
#4maj7(Gmaj7,#4m7,1,1.0
1(Cm),17(Cm),1,1.0
10,1maj7,2,1.0
107,1maj7,13,0.30952380952380953
107,16,12,0.2857142857142857
107,17,4,0.09523809523809523
107,67,3,0.07142857142857142
107,57sus,2,0.047619047619047616
107,707,2,0.047619047619047616
107,1Maj,2,0.047619047619047616
107,b2m11,2,0.047619047619047616
107,2m7,1,0.023809523809523808
107,5m7,1,0.023809523809523808
113,b713,5,0.38461538461538464
113,77#9,2,0.15384615384615385
113,17b13,1,0.07692307692307693
113,77b9b13,1,0.07692307692307693
113,49,1,0.07692307692307693
113,4maj7,1,0.07692307692307693
113,413,1,0.07692307692307693
113,513,1,0.07692307692307693
113b9,4maj7,1,1.0
113sus,b713sus,1,1.0
16,2m7,251,0.1800573888091822
16,6m7,167,0.11979913916786226
16,57,112,0.08034433285509325
16,67,90,0.06456241032998565
16,47,60,0.043041606886657105
16,17,57,0.040889526542324243
16,5m7,55,0.03945480631276901
16,3m7,42,0.03012912482065997
16,b207,35,0.025107604017216643
16,b307,31,0.02223816355810617
16,27,30,0.021520803443328552
16,1maj7,29,0.02080344332855093
16,7m7b5,28,0.020086083213773313
16,67b9,23,0.01649928263988522
16,37,22,0.015781922525107604
16,4maj7,22,0.015781922525107604
16,#4m7b5,21,0.015064562410329985
16,b67,21,0.015064562410329985
16,3m7b5,18,0.01291248206599713
16,b77,15,0.010760401721664276
16,4m6,14,0.010043041606886656
16,77,13,0.009325681492109038
16,67#9,12,0.00860832137733142
16,57sus,9,0.006456241032998565
16,1aug,9,0.006456241032998565
16,b3m7,8,0.005738880918220947
16,57#5,8,0.005738880918220947
16,b76,8,0.005738880918220947
16,4m7,7,0.005021520803443328
16,b27,7,0.005021520803443328
16,b37,6,0.00430416068866571
16,77b9,6,0.00430416068866571
16,67b13,6,0.00430416068866571
16,b7m7,6,0.00430416068866571
16,4Maj,6,0.00430416068866571
16,107,6,0.00430416068866571
16,#407,5,0.003586800573888092
16,46,5,0.003586800573888092
16,#4m7,5,0.003586800573888092
16,16(Fm7),5,0.003586800573888092
16,37#5,5,0.003586800573888092
16,17#5,4,0.0028694404591104736
16,37b9,4,0.0028694404591104736
16,59sus,4,0.0028694404591104736
16,16(Gm7),4,0.0028694404591104736
16,b77#11,4,0.0028694404591104736
16,57b5,4,0.0028694404591104736
16,1m7,4,0.0028694404591104736
16,1Maj,4,0.0028694404591104736
16,b20,3,0.002152080344332855
16,1m6,3,0.002152080344332855
16,37b13,3,0.002152080344332855
16,b26,3,0.002152080344332855
16,5m,3,0.002152080344332855
16,49,3,0.002152080344332855
16,7m7,3,0.002152080344332855
16,67#5,3,0.002152080344332855
16,2m7b5,3,0.002152080344332855
16,2m9,2,0.0014347202295552368
16,b30,2,0.0014347202295552368
16,57alt,2,0.0014347202295552368
16,17b9,2,0.0014347202295552368
16,b79,2,0.0014347202295552368
16,69#5,2,0.0014347202295552368
16,b3m6,2,0.0014347202295552368
16,6m6,2,0.0014347202295552368
16,67#5#9,2,0.0014347202295552368
16,57#9,2,0.0014347202295552368
16,77(Bb7#5),2,0.0014347202295552368
16,b3maj7,1,0.0007173601147776184
16,4maj9,1,0.0007173601147776184
16,27#11,1,0.0007173601147776184
16,3maj7,1,0.0007173601147776184
16,4m,1,0.0007173601147776184
16,#47#11,1,0.0007173601147776184
16,47#11,1,0.0007173601147776184
16,27b9,1,0.0007173601147776184
16,b2Maj,1,0.0007173601147776184
16,16(Db07),1,0.0007173601147776184
16,b607,1,0.0007173601147776184
16,2m7(Ebm6,1,0.0007173601147776184
16,46(Cm7,1,0.0007173601147776184
16,67(Ab7),1,0.0007173601147776184
16,5m6,1,0.0007173601147776184
16,6m,1,0.0007173601147776184
16,37b5,1,0.0007173601147776184
16,1maj7#5,1,0.0007173601147776184
16,#47,1,0.0007173601147776184
16,2m11,1,0.0007173601147776184
16,4maj7#11,1,0.0007173601147776184
16,b6m7,1,0.0007173601147776184
16,57#5#9,1,0.0007173601147776184
16,b2m7b5,1,0.0007173601147776184
16,67b9#5,1,0.0007173601147776184
16,16(Cm7),1,0.0007173601147776184
16,507,1,0.0007173601147776184
16,3m7(Eb6),1,0.0007173601147776184
16(Ab),16(Bbm7),2,0.5
16(Ab),16(Db),2,0.5
16(Am7b5),6m7(D7b9),1,1.0
16(Bbm7,16(Ab),2,1.0
16(Bbm7),16(Cm7),2,0.5
16(Bbm7),16(Ab),2,0.5
16(Cm7),16(Bbm7),2,1.0
16(Db),16(Bbm7,2,1.0
16(Fm7),16,1,1.0
169,b769,7,0.25925925925925924
169,2m7,3,0.1111111111111111
169,b269,2,0.07407407407407407
169,67,2,0.07407407407407407
169,469,2,0.07407407407407407
169,b7maj7,2,0.07407407407407407
169,57#9,2,0.07407407407407407
169,37b9#5,2,0.07407407407407407
169,57sus,1,0.037037037037037035
169,67#9,1,0.037037037037037035
169,67#5,1,0.037037037037037035
169,b2maj7,1,0.037037037037037035
169,1maj7#11,1,0.037037037037037035
17,4maj7,342,0.32947976878612717
17,47,199,0.19171483622350674
17,46,97,0.09344894026974952
17,5m7,55,0.052986512524084775
17,b77,50,0.04816955684007707
17,4Maj,39,0.03757225433526012
17,57,26,0.025048169556840076
17,67,24,0.023121387283236993
17,77,20,0.019267822736030827
17,4m7,20,0.019267822736030827
17,3m7,14,0.01348747591522158
17,2m7,14,0.01348747591522158
17,b27,14,0.01348747591522158
17,6m7,11,0.010597302504816955
17,#4m7,7,0.00674373795761079
17,4maj9,7,0.00674373795761079
17,1m7,5,0.004816955684007707
17,#47#11,5,0.004816955684007707
17,b37,5,0.004816955684007707
17,4m6,5,0.004816955684007707
17,67b9,5,0.004816955684007707
17,16,4,0.0038535645472061657
17,17#5,4,0.0038535645472061657
17,37(Ab7),3,0.002890173410404624
17,3m7b5,3,0.002890173410404624
17,17b9,3,0.002890173410404624
17,7m7,2,0.0019267822736030828
17,b2maj7(F#m7),2,0.0019267822736030828
17,27,2,0.0019267822736030828
17,107,2,0.0019267822736030828
17,2m7b5,2,0.0019267822736030828
17,#47,2,0.0019267822736030828
17,47#5,2,0.0019267822736030828
17,37,2,0.0019267822736030828
17,17sus,2,0.0019267822736030828
17,b77sus,2,0.0019267822736030828
17,3m7b5(Ebm7),2,0.0019267822736030828
17,#4m7b5,2,0.0019267822736030828
17,1Maj,2,0.0019267822736030828
17,b67,2,0.0019267822736030828
17,7m7b5,2,0.0019267822736030828
17,b2m7,2,0.0019267822736030828
17,6m6,2,0.0019267822736030828
17,4m,2,0.0019267822736030828
17,57#9,1,0.0009633911368015414
17,7maj7,1,0.0009633911368015414
17,b7maj7,1,0.0009633911368015414
17,#407,1,0.0009633911368015414
17,b3m7,1,0.0009633911368015414
17,77(F7),1,0.0009633911368015414
17,6m7(Cm7),1,0.0009633911368015414
17,67#9,1,0.0009633911368015414
17,5m,1,0.0009633911368015414
17,b6m7,1,0.0009633911368015414
17,49,1,0.0009633911368015414
17,3Maj,1,0.0009633911368015414
17,17b5,1,0.0009633911368015414
17,67sus,1,0.0009633911368015414
17,77#5,1,0.0009633911368015414
17,47sus,1,0.0009633911368015414
17,77sus,1,0.0009633911368015414
17,77b13,1,0.0009633911368015414
17,b6maj7,1,0.0009633911368015414
17,67#5,1,0.0009633911368015414
17,5m7(Am7),1,0.0009633911368015414
17#11,4maj7,2,0.4
17#11,77b9,1,0.2
17#11,5m7,1,0.2
17#11,47b9,1,0.2
17#5,4maj7,7,0.30434782608695654
17#5,46,5,0.21739130434782608
17#5,47,4,0.17391304347826086
17#5,4maj9,2,0.08695652173913043
17#5,4Maj,2,0.08695652173913043
17#5,b27,1,0.043478260869565216
17#5,5m7,1,0.043478260869565216
17#5,77#5,1,0.043478260869565216
17#5#9,4m9,2,0.5
17#5#9,4m7,1,0.25
17#5#9,7m7b5,1,0.25
17#9,4maj7,3,0.1875
17#9,67b5#9,2,0.125
17#9,4m7,2,0.125
17#9,b37b9,2,0.125
17#9,469,1,0.0625
17#9,b613,1,0.0625
17#9,b67,1,0.0625
17#9,b2maj7,1,0.0625
17#9,77b9,1,0.0625
17#9,49,1,0.0625
17#9,59,1,0.0625
17(Cm),4Maj,1,1.0
17(D7),5m7,1,1.0
17(D7b9),4maj7(G7),1,1.0
17(E7b5),4maj7,1,1.0
17b13,4m7,3,0.5
17b13,47,1,0.16666666666666666
17b13,4m6,1,0.16666666666666666
17b13,4m,1,0.16666666666666666
17b5,17,1,0.5
17b5,b77b5,1,0.5
17b9,4maj7,17,0.4146341463414634
17b9,4m7,11,0.2682926829268293
17b9,4m,3,0.07317073170731707
17b9,47,2,0.04878048780487805
17b9,b7m7,1,0.024390243902439025
17b9,46,1,0.024390243902439025
17b9,2m7b5,1,0.024390243902439025
17b9,b3Maj,1,0.024390243902439025
17b9,4m6,1,0.024390243902439025
17b9,6m7b5,1,0.024390243902439025
17b9,67#5#9,1,0.024390243902439025
17b9,5m7b5,1,0.024390243902439025
17b9#5,46,1,1.0
17b9b13,4m9,1,0.5
17b9b13,77#5,1,0.5
17b9sus,b6maj7,2,0.6666666666666666
17b9sus,6m7b5,1,0.3333333333333333
17sus,17,17,0.5151515151515151
17sus,47sus,3,0.09090909090909091
17sus,77#9,2,0.06060606060606061
17sus,b6maj7,1,0.030303030303030304
17sus,b6Maj,1,0.030303030303030304
17sus,27,1,0.030303030303030304
17sus,57sus,1,0.030303030303030304
17sus,5m7,1,0.030303030303030304
17sus,77b9,1,0.030303030303030304
17sus,3m7b5,1,0.030303030303030304
17sus,4maj7,1,0.030303030303030304
17sus,3Maj,1,0.030303030303030304
17sus,113b9,1,0.030303030303030304
17sus,1maj7,1,0.030303030303030304
19,2m7,1,0.14285714285714285
19,5m7,1,0.14285714285714285
19,46,1,0.14285714285714285
19,79,1,0.14285714285714285
19,4maj7,1,0.14285714285714285
19,1Maj,1,0.14285714285714285
19,#413,1,0.14285714285714285
19#5,4maj7,1,1.0
19sus,b39sus,2,1.0
1Maj,67,38,0.08755760368663594
1Maj,57,37,0.08525345622119816
1Maj,4Maj,37,0.08525345622119816
1Maj,17,32,0.07373271889400922
1Maj,2m7,27,0.06221198156682028
1Maj,6m7,25,0.0576036866359447
1Maj,37,22,0.05069124423963134
1Maj,5Maj,15,0.03456221198156682
1Maj,1maj7,15,0.03456221198156682
1Maj,1aug,13,0.029953917050691243
1Maj,b307,13,0.029953917050691243
1Maj,b77,12,0.027649769585253458
1Maj,6m,9,0.020737327188940093
1Maj,46,8,0.018433179723502304
1Maj,5m7,7,0.016129032258064516
1Maj,47,6,0.013824884792626729
1Maj,b207,6,0.013824884792626729
1Maj,4m6,5,0.01152073732718894
1Maj,2m,5,0.01152073732718894
1Maj,b6Maj,5,0.01152073732718894
1Maj,2Maj,5,0.01152073732718894
1Maj,16,4,0.009216589861751152
1Maj,b2Maj,4,0.009216589861751152
1Maj,67b9,4,0.009216589861751152
1Maj,77,4,0.009216589861751152
1Maj,#4maj7#11,4,0.009216589861751152
1Maj,3m7,4,0.009216589861751152
1Maj,#49b5,4,0.009216589861751152
1Maj,7Maj,3,0.0069124423963133645
1Maj,b7Maj,3,0.0069124423963133645
1Maj,b77#11,3,0.0069124423963133645
1Maj,7m7b5,3,0.0069124423963133645
1Maj,107,3,0.0069124423963133645
1Maj,#407,3,0.0069124423963133645
1Maj,b3m7,2,0.004608294930875576
1Maj,b36,2,0.004608294930875576
1Maj,57sus,2,0.004608294930875576
1Maj,#4m7,2,0.004608294930875576
1Maj,707,2,0.004608294930875576
1Maj,4m,2,0.004608294930875576
1Maj,3m,2,0.004608294930875576
1Maj,17#5,2,0.004608294930875576
1Maj,#4m7b5,2,0.004608294930875576
1Maj,67b13,2,0.004608294930875576
1Maj,27,2,0.004608294930875576
1Maj,b66,1,0.002304147465437788
1Maj,1maj9,1,0.002304147465437788
